t,x_true,y_white,y_bias,y_drift,y_quant,y_late,y_drop,y_out,y_combo
1.000000000000000056e-01,9.428832380942941960e-01,1.002586132060938384e+00,1.609803790174467064e+00,1.048566144796062138e+00,8.000000000000000444e-01,9.563200458523952313e-03,nan,1.026861594490608320e+00,2.000000000000000111e-01
1.100000000000000006e-01,1.015405446574601855e+00,9.084051638278163310e-01,1.818644169920839992e+00,1.059746029550492574e+00,1.200000000000000178e+00,-1.857121043007524050e-02,nan,1.071574720442752149e+00,2.000000000000000111e-01
1.199999999999999956e-01,1.082280378053761094e+00,1.020867920652601901e+00,1.486251192254817610e+00,9.820982023388922233e-01,1.100000000000000089e+00,4.056273366009464226e-02,1.044820130634869004e+00,1.154778059319252481e+00,2.000000000000000111e-01
1.300000000000000044e-01,1.143242135100223100e+00,1.444856589414649894e+00,1.726524175942149908e+00,1.213032156587136479e+00,1.200000000000000178e+00,1.486204219543347561e-02,1.247085714437357051e+00,1.212367732714219715e+00,2.000000000000000111e-01
1.400000000000000133e-01,1.198082105790268637e+00,1.081636230229088280e+00,1.781125199824911798e+00,1.274711902005871478e+00,1.200000000000000178e+00,-2.496620524445510372e-02,1.194548844078163974e+00,1.280085052497725417e+00,2.000000000000000111e-01
1.499999999999999944e-01,1.246650873453261532e+00,1.201026112683004632e+00,1.417320995124391914e+00,1.431130184788781179e+00,1.200000000000000178e+00,-5.084927537481406107e-03,1.184233828564752233e+00,1.316816487787591194e+00,2.000000000000000111e-01
1.600000000000000033e-01,1.288859529933387593e+00,1.143956629050130402e+00,2.261116739194669378e+00,1.445375694760559382e+00,1.300000000000000044e+00,8.257207017833971541e-02,1.299213573119624376e+00,1.305693857571103234e+00,2.000000000000000111e-01
1.700000000000000122e-01,1.324680379201166325e+00,1.221230511703010002e+00,2.202800314622775257e+00,1.315902753495265198e+00,1.300000000000000044e+00,7.204098610191396468e-02,1.418679458210778010e+00,1.310638961101112887e+00,2.000000000000000111e-01
1.799999999999999933e-01,1.354147024303597346e+00,1.292835447912683344e+00,2.176495252990478857e+00,1.362680307067409613e+00,1.300000000000000044e+00,-3.497232745087622274e-02,1.341164531320355291e+00,1.377458812698810320e+00,2.000000000000000111e-01
1.900000000000000022e-01,1.377353836868118631e+00,1.428664166041622829e+00,2.163536489190166279e+00,1.212765806772496457e+00,1.400000000000000133e+00,6.048578598415807472e-02,1.360687877312597882e+00,1.455908681972126972e+00,-1.494031810787271652e+00
2.000000000000000111e-01,1.394454814609757065e+00,1.335683603604597147e+00,1.815484740890375592e+00,1.441403323740851228e+00,1.300000000000000044e+00,7.200650933444782686e-02,1.407205725004152530e+00,1.398515803884462283e+00,2.000000000000000111e-01
2.099999999999999922e-01,1.405661838469983937e+00,1.334720145472230168e+00,1.512342380820283161e+00,1.242730607036838242e+00,1.400000000000000133e+00,8.858111663417436721e-02,1.444789917769990106e+00,1.342654165247563647e+00,3.000000000000000444e-01
2.200000000000000011e-01,1.411242347077442449e+00,1.287879316570012422e+00,1.988567423190334305e+00,1.315798789337071506e+00,1.400000000000000133e+00,2.790348062122177675e-01,1.408395651084419997e+00,1.428872356087533824e+00,5.000000000000000000e-01
2.300000000000000100e-01,1.411516452103700470e+00,1.429433345484918183e+00,2.017498571053700118e+00,1.226040859280308704e+00,1.400000000000000133e+00,2.200085532117795339e-01,1.435136453053898364e+00,1.326452537880605576e+00,5.000000000000000000e-01
2.399999999999999911e-01,1.406853523732072508e+00,1.138020323570745340e+00,1.942940270672669945e+00,1.304891359238591564e+00,1.300000000000000044e+00,3.997473253324493880e-01,1.456295420101071381e+00,1.413411706719573724e+00,5.000000000000000000e-01
2.500000000000000000e-01,1.397668280807381480e+00,1.408105260668936820e+00,1.900233185138342051e+00,1.401542104564359903e+00,1.400000000000000133e+00,4.944913436024602760e-01,1.377620047742367237e+00,1.374866401982229869e+00,7.000000000000000666e-01
2.600000000000000089e-01,1.384416425235208026e+00,1.646421571704914211e+00,2.168520254818164350e+00,1.242614278692887542e+00,1.500000000000000000e+00,5.786124911558330197e-01,1.278352407312165040e+00,1.451775473933788252e+00,7.000000000000000666e-01
2.700000000000000178e-01,1.367589864800304422e+00,1.214207289033533588e+00,2.110507621852457216e+00,1.303668505402919342e+00,1.300000000000000044e+00,7.323155356128919768e-01,1.420050253604842050e+00,1.306716090880021941e+00,9.000000000000000222e-01
2.800000000000000266e-01,1.347711572728860663e+00,1.338633225122163317e+00,1.932908535180196008e+00,1.150263309611388118e+00,1.400000000000000133e+00,7.909120759386319977e-01,1.327356317126197283e+00,1.377551786419401347e+00,9.000000000000000222e-01
2.899999999999999800e-01,1.325330135986338531e+00,1.888771939283186985e+00,1.815192265424512730e+00,1.303843069033997493e+00,1.400000000000000133e+00,8.275322085640558489e-01,1.347433146952401684e+00,1.258292413496234330e+00,1.000000000000000000e+00
2.999999999999999889e-01,1.301014047444535526e+00,1.102479165492344260e+00,2.339268367098040535e+00,1.331994244148936302e+00,1.300000000000000044e+00,8.985244868170237931e-01,1.292271261350192990e+00,1.287778930780163034e+00,1.100000000000000089e+00
3.099999999999999978e-01,1.275345799636740995e+00,9.511174947943673574e-01,2.027968761569484357e+00,1.225428234820672202e+00,1.400000000000000133e+00,9.770217618092272849e-01,1.284415628513402741e+00,1.270499274871995210e+00,1.200000000000000178e+00
3.200000000000000067e-01,1.248915839822128726e+00,1.163554013506144180e+00,1.858596305367457013e+00,1.183792653973372522e+00,1.200000000000000178e+00,1.062693475113812847e+00,1.297873205576733913e+00,1.238258559040560147e+00,1.300000000000000044e+00
3.300000000000000155e-01,1.222316447479751211e+00,1.583704043555385077e+00,1.554200262235101215e+00,1.062806321652118413e+00,1.100000000000000089e+00,1.064851796841610687e+00,1.152082976080476939e+00,1.253491908263305588e+00,1.300000000000000044e+00
3.400000000000000244e-01,1.196135596134443091e+00,1.603158698491261358e+00,1.479731413463082124e+00,1.199201855415467088e+00,1.300000000000000044e+00,1.187436713952574774e+00,1.290468712182717415e+00,1.195593117800833438e+00,1.400000000000000133e+00
3.500000000000000333e-01,1.170950861573821555e+00,9.277534089477176282e-01,1.213902358308072138e+00,1.227296549417367544e+00,1.200000000000000178e+00,1.287218463302844063e+00,1.184348666595901989e+00,1.068278695440542103e+00,1.400000000000000133e+00
3.599999999999999867e-01,1.147323438045678046e+00,1.261351555739745445e+00,1.686287004162038805e+00,1.060601411365988511e+00,1.000000000000000000e+00,1.308625790722437010e+00,1.072521026054313431e+00,-6.360775049972555717e-01,1.500000000000000000e+00
3.699999999999999956e-01,1.125792322933244050e+00,1.126696609201871091e+00,1.772269208017501319e+00,1.055481747011835170e+00,1.100000000000000089e+00,1.224901595477960292e+00,1.108756922748026508e+00,1.185328802201050191e+00,1.400000000000000133e+00
3.800000000000000044e-01,1.106868728703058302e+00,9.891945776159887238e-01,1.660852826655791370e+00,9.933461259520955933e-01,1.100000000000000089e+00,1.282452302588302118e+00,1.100467109239890773e+00,1.039601694340177795e+00,1.600000000000000089e+00
3.900000000000000133e-01,1.091030778623634401e+00,7.018912151526821575e-01,1.679551287427372586e+00,8.822087292810671943e-01,1.000000000000000000e+00,1.368269745106986068e+00,1.146306295246468432e+00,1.126244114758435666e+00,1.400000000000000133e+00
4.000000000000000222e-01,1.078718539886104999e+00,1.283635335827536750e+00,1.715724689126799429e+00,9.917047126838658411e-01,9.000000000000000222e-01,1.427285182707936473e+00,1.029879251888723424e+00,1.006576960175414204e+00,1.500000000000000000e+00
4.100000000000000311e-01,1.070329444349332748e+00,8.982217830033170092e-01,1.824539140840288676e+00,8.448461307409907972e-01,1.100000000000000089e+00,1.551886929919244151e+00,1.088159862481604456e+00,1.131461002349613443e+00,1.600000000000000089e+00
4.199999999999999845e-01,1.066214143216170029e+00,1.126015680051011936e+00,1.304809660958004436e+00,1.110049068868211641e+00,1.100000000000000089e+00,1.404925466429494785e+00,1.094719534559706942e+00,1.083070571512480873e+00,1.600000000000000089e+00
4.299999999999999933e-01,1.066672837564071941e+00,1.083051630198186732e+00,1.409605251486950150e+00,1.177870188650150363e+00,1.000000000000000000e+00,1.441276793493862618e+00,1.060411056139668462e+00,1.056493616367681021e+00,1.600000000000000089e+00
4.400000000000000022e-01,1.071952121846429407e+00,1.445988375625886446e+00,1.836576317099280153e+00,1.093855950939392363e+00,9.000000000000000222e-01,1.337169439898196810e+00,9.758879908361888234e-01,1.034413924225940473e+00,1.500000000000000000e+00
4.500000000000000111e-01,1.082242372299327293e+00,1.317441330182044679e+00,1.726729281419410400e+00,1.040872169997239860e+00,1.200000000000000178e+00,1.399060283257147486e+00,1.082987670681184733e+00,1.029098923309798685e+00,1.600000000000000089e+00
4.600000000000000200e-01,1.097675706684262842e+00,8.666084940320872843e-01,1.786159053803105357e+00,1.014189735791360736e+00,1.100000000000000089e+00,1.334142163451690344e+00,1.139065880723949986e+00,1.058750912637216324e+00,1.600000000000000089e+00
4.700000000000000289e-01,1.118324536026255256e+00,1.065845504850733816e+00,1.509560499701337211e+00,1.060570395800473742e+00,1.100000000000000089e+00,1.366681217186928698e+00,1.089566885699836396e+00,1.049529447479108146e+00,1.400000000000000133e+00
4.799999999999999822e-01,1.144200723027046340e+00,1.351570233572841895e+00,2.031996565807545174e+00,9.500026319426140287e-01,1.200000000000000178e+00,1.406146050577297579e+00,1.141115767265977965e+00,1.136424510189104176e+00,nan
4.899999999999999911e-01,1.175255355705091098e+00,9.086523628488232251e-01,1.788864750161843986e+00,1.143155093694240509e+00,1.200000000000000178e+00,1.302016271974816508e+00,1.165585053306399832e+00,1.189623132841598485e+00,1.400000000000000133e+00
5.000000000000000000e-01,1.211379138599643301e+00,1.132921472226256165e+00,1.755749999995384059e+00,1.165352801932483029e+00,1.100000000000000089e+00,1.394357119031378156e+00,1.168751199698539356e+00,1.210117607366996584e+00,1.500000000000000000e+00
5.100000000000000089e-01,1.252403397638245597e+00,1.297918557778658055e+00,1.668389133689015313e+00,1.253814833097045334e+00,1.300000000000000044e+00,1.298213247451150076e+00,1.209359027257506769e+00,1.249082339487775473e+00,1.400000000000000133e+00
5.200000000000000178e-01,1.298101688568275902e+00,9.749364568318015234e-01,1.926847149713291518e+00,1.423463161693381274e+00,1.500000000000000000e+00,1.272561238529846595e+00,1.325367297323566840e+00,1.252745014082273567e+00,1.400000000000000133e+00
5.300000000000000266e-01,1.348191992756532231e+00,1.101100363469174948e+00,1.972586115623869318e+00,1.326222852239736349e+00,1.300000000000000044e+00,1.295956885156756444e+00,1.382126998107603422e+00,1.352423513894634555e+00,1.300000000000000044e+00
5.400000000000000355e-01,1.402339478227660585e+00,1.061524077404241817e+00,1.971180325414121137e+00,1.527125291725746514e+00,1.500000000000000000e+00,1.171206265965190729e+00,1.428814799099660915e+00,1.400244691950444320e+00,1.300000000000000044e+00
5.500000000000000444e-01,1.460159798102521611e+00,1.517554973859747802e+00,2.372902714522326928e+00,1.501755616136226879e+00,1.400000000000000133e+00,1.222673457137848141e+00,1.433803831370972892e+00,1.494848041736471123e+00,1.300000000000000044e+00
5.600000000000000533e-01,1.521222893168965751e+00,1.408919999373006826e+00,2.349357695849826566e+00,1.402857133633208964e+00,1.600000000000000089e+00,1.109327160440321203e+00,nan,1.440730465779509473e+00,1.200000000000000178e+00
5.700000000000000622e-01,1.585057260224766340e+00,1.770786917753865541e+00,2.176492816707555455e+00,1.604360696506259565e+00,1.600000000000000089e+00,1.130240093523918077e+00,1.610977048146833290e+00,1.625913991302295303e+00,1.200000000000000178e+00
5.799999999999999600e-01,1.651154643127100918e+00,1.673913493840147426e+00,2.130398614660910628e+00,1.612746450553982580e+00,1.700000000000000178e+00,1.124542915430664314e+00,1.551258828332882089e+00,1.659434405781679223e+00,1.200000000000000178e+00
5.899999999999999689e-01,1.718975099212464608e+00,1.833378549887762610e+00,2.226114655109417750e+00,1.735962441522174604e+00,1.800000000000000044e+00,1.055274660636806860e+00,1.692600861203636287e+00,1.801088468289185007e+00,1.200000000000000178e+00
5.999999999999999778e-01,1.787952389958348931e+00,1.771217221175360956e+00,2.450270374648433336e+00,1.802011729509818139e+00,1.800000000000000044e+00,1.127355581291641373e+00,1.773723497470511390e+00,1.789748325309120647e+00,1.100000000000000089e+00
6.099999999999999867e-01,1.857499641481803021e+00,2.007884400530935753e+00,1.902385932041165351e+00,1.876286912511324179e+00,2.000000000000000000e+00,1.065832118059805600e+00,1.797269959421977426e+00,1.887145711117605540e+00,1.300000000000000044e+00
6.199999999999999956e-01,1.927015217743081932e+00,1.906351786299776752e+00,2.583640620393030218e+00,1.886985229670719466e+00,2.000000000000000000e+00,1.122625158424891634e+00,1.902976692285072158e+00,1.997089479732179651e+00,1.100000000000000089e+00
6.300000000000000044e-01,1.995888747172620103e+00,1.799448437008630108e+00,2.548334887339719135e+00,2.032074187962735312e+00,1.900000000000000133e+00,1.088320618739095025e+00,1.940276154074715320e+00,2.077334784673689594e+00,1.300000000000000044e+00
6.400000000000000133e-01,2.063507241888190347e+00,2.300060918338004079e+00,3.081847924892660018e+00,2.024384258548958204e+00,2.300000000000000266e+00,9.782732573529437925e-01,2.105330611082290915e+00,2.124932683708008696e+00,1.100000000000000089e+00
6.500000000000000222e-01,2.129261247732027851e+00,2.325262877263017725e+00,2.813814960198866011e+00,2.058767278967678749e+00,2.200000000000000178e+00,1.057299103239581983e+00,2.057072457622953543e+00,2.137376777575108022e+00,1.300000000000000044e+00
6.600000000000000311e-01,2.192550963044337831e+00,2.645889605820566981e+00,2.757147347987267239e+00,2.202352783726488017e+00,2.100000000000000089e+00,1.075515062331465099e+00,2.187111352557095767e+00,2.139248656934601645e+00,1.300000000000000044e+00
6.700000000000000400e-01,2.252792264403176148e+00,2.224352078104769426e+00,2.861364744752855405e+00,2.112630856539911672e+00,2.300000000000000266e+00,1.057166897300729325e+00,2.260549124192829940e+00,2.307434650784552677e+00,1.400000000000000133e+00
6.800000000000000488e-01,2.309422578498005141e+00,2.193442521901989739e+00,2.783557170923242730e+00,2.382390933480195816e+00,2.300000000000000266e+00,1.175094426130550262e+00,2.377049438790484803e+00,2.223315713659408832e+00,1.300000000000000044e+00
6.900000000000000577e-01,2.361906540855782666e+00,2.072498040309945999e+00,2.823460550049933016e+00,2.472701012903962159e+00,2.500000000000000000e+00,1.114492520923674457e+00,2.404251055402176540e+00,2.361087450990240644e+00,1.200000000000000178e+00
7.000000000000000666e-01,2.409741384288676791e+00,1.637885881345381378e+00,2.996743949558781761e+00,2.414721153725266856e+00,2.500000000000000000e+00,1.245057059036136504e+00,2.362760200763124097e+00,2.439487510049389574e+00,1.500000000000000000e+00
7.099999999999999645e-01,2.452462002659561602e+00,2.190782334642097595e+00,2.655424351106632219e+00,2.607730093860399112e+00,2.500000000000000000e+00,1.294452429275567917e+00,2.550329292552412586e+00,2.455676193243558014e+00,1.400000000000000133e+00
7.199999999999999734e-01,2.489645638837942432e+00,2.587009348928143382e+00,3.090881752650931791e+00,2.594179924678468474e+00,2.500000000000000000e+00,1.283146788626865042e+00,2.541641878764776319e+00,2.461102133857492547e+00,1.500000000000000000e+00
7.299999999999999822e-01,2.520916149511660986e+00,2.343809921237708593e+00,2.788762727600317959e+00,2.561760665777660151e+00,2.600000000000000089e+00,1.316491140631288692e+00,2.554947103673187669e+00,2.529096239446004812e+00,1.600000000000000089e+00
7.399999999999999911e-01,2.545947803790500341e+00,2.026983003973913622e+00,3.004284579378266873e+00,2.631683289660534886e+00,2.600000000000000089e+00,1.368003730205018087e+00,2.442783681666688356e+00,2.476387367225327374e+00,1.600000000000000089e+00
7.500000000000000000e-01,2.564468577243347980e+00,2.686120518813109204e+00,3.020288010521779754e+00,2.680305871617761682e+00,2.600000000000000089e+00,1.397468125257007809e+00,2.544778295352911446e+00,2.578502509303751911e+00,1.600000000000000089e+00
7.600000000000000089e-01,2.576262908103516214e+00,2.457931406477058101e+00,3.315084419324416665e+00,2.557854037443860751e+00,2.600000000000000089e+00,1.531874677738992663e+00,2.529001236805599184e+00,2.583183931060140548e+00,1.800000000000000044e+00
7.700000000000000178e-01,2.581173887805652711e+00,2.508973069100082220e+00,3.492036285552392538e+00,2.660417609712369735e+00,2.500000000000000000e+00,1.536255430370906172e+00,2.627866171844980059e+00,2.555506357161443809e+00,1.700000000000000178e+00
7.800000000000000266e-01,2.579104863727591734e+00,2.492816963396639274e+00,3.462538036156086463e+00,2.676386442579394842e+00,2.700000000000000178e+00,1.726511301355520223e+00,2.573525503849979135e+00,2.519473564580298586e+00,1.800000000000000044e+00
7.900000000000000355e-01,2.570020437943881131e+00,2.543080758823145437e+00,3.075424159498011623e+00,2.651768214489404585e+00,2.700000000000000178e+00,1.744694348060590983e+00,2.591165695821024961e+00,2.494424776584890591e+00,1.800000000000000044e+00
8.000000000000000444e-01,2.553946851894590697e+00,2.648835667285780904e+00,3.109680653871925049e+00,2.535518004505397993e+00,2.600000000000000089e+00,1.871701389886813782e+00,2.559368947709432351e+00,2.614079459607375977e+00,2.000000000000000000e+00
8.100000000000000533e-01,2.530971753071869390e+00,2.184068422854175573e+00,3.139801124636639074e+00,2.674062381112906728e+00,2.500000000000000000e+00,1.821059156855557637e+00,2.502150172931939309e+00,2.535901172051782559e+00,1.800000000000000044e+00
8.200000000000000622e-01,2.501243346064927930e+00,2.455819857520992855e+00,3.133856243136999620e+00,2.302476868279875077e+00,2.500000000000000000e+00,1.898567678364246225e+00,2.382114781114692992e+00,2.453309719758048679e+00,2.100000000000000089e+00
8.300000000000000711e-01,2.464968936518702414e+00,2.363251114375232387e+00,3.289205858358728030e+00,2.438679305877432313e+00,2.300000000000000266e+00,2.018278170881856681e+00,2.512800027368915945e+00,2.449587535671883032e+00,2.300000000000000266e+00
8.399999999999999689e-01,2.422412882689659153e+00,2.649757826756339085e+00,3.158551233745727327e+00,2.438351198700810851e+00,2.300000000000000266e+00,2.161963525104272588e+00,2.383113385143032392e+00,2.414986349366196272e+00,2.200000000000000178e+00
8.499999999999999778e-01,2.373893975262134415e+00,2.166834504600710254e+00,2.974858843194704505e+00,2.546089891656716286e+00,2.400000000000000355e+00,2.131248702174402876e+00,2.376500856439164977e+00,2.274157220199376273e+00,2.400000000000000355e+00
8.599999999999999867e-01,2.319782271859898604e+00,2.647264560946091194e+00,3.304260641492504202e+00,2.182641590857030245e+00,2.400000000000000355e+00,2.097657575818565601e+00,2.390706926660068010e+00,2.254075572447816977e+00,2.200000000000000178e+00
8.699999999999999956e-01,2.260495418192002059e+00,2.382102057696464215e+00,3.042080093711446054e+00,2.165240005569814663e+00,2.300000000000000266e+00,2.223437271766527168e+00,2.252924392688430366e+00,2.266667591145433036e+00,2.500000000000000000e+00
8.800000000000000044e-01,2.196494492953785738e+00,2.521423170229428301e+00,3.164673980656417029e+00,2.087888994243748186e+00,2.200000000000000178e+00,2.272813408194102269e+00,2.205863866428289466e+00,2.144795599246891893e+00,2.400000000000000355e+00
8.900000000000000133e-01,2.128279418411026747e+00,1.987382343390682093e+00,2.720618907720250945e+00,2.100488769604813566e+00,2.200000000000000178e+00,2.291006432812944471e+00,2.056724964360129082e+00,2.106137122073325152e+00,2.500000000000000000e+00
9.000000000000000222e-01,2.056383982978768898e+00,2.217574406023345102e+00,2.774863987124112530e+00,1.971511970500253508e+00,2.000000000000000000e+00,2.348169751027089802e+00,2.067614607854200592e+00,2.067334156442786064e+00,2.700000000000000178e+00
9.100000000000000311e-01,1.981370526022475875e+00,2.053991326056789912e+00,2.652079672600228033e+00,1.876307092082781569e+00,2.000000000000000000e+00,2.471259676619148138e+00,2.002536973778220375e+00,1.996075913578015726e+00,2.600000000000000089e+00
9.200000000000000400e-01,1.903824338517907666e+00,1.604290267802085390e+00,2.544129818503443552e+00,1.993200281491983805e+00,2.000000000000000000e+00,2.501129964814169160e+00,1.938095176998281488e+00,1.943725680997383520e+00,2.700000000000000178e+00
9.300000000000000488e-01,1.824347836073434870e+00,1.772164256627793755e+00,2.222266114642527324e+00,1.885932073583016955e+00,1.800000000000000044e+00,2.337622434415665307e+00,1.713048305273733529e+00,1.815247761468508525e+00,2.700000000000000178e+00
9.400000000000000577e-01,1.743554563115110145e+00,1.653015296686419555e+00,2.399404497554743720e+00,1.753046836313830070e+00,1.800000000000000044e+00,2.565756572310943451e+00,1.738916056062779436e+00,1.783535317337801018e+00,2.700000000000000178e+00
9.500000000000000666e-01,1.662063088737799399e+00,1.468832335478278850e+00,1.978482717960389436e+00,1.607603715336587857e+00,1.600000000000000089e+00,2.501066315404631979e+00,1.642638359864295072e+00,1.602053535793077188e+00,2.800000000000000266e+00
9.599999999999999645e-01,1.580490855817675788e+00,1.426860944577055701e+00,2.263002905430060885e+00,1.567512551102595131e+00,1.600000000000000089e+00,2.587207633359500214e+00,1.489108597479408491e+00,1.627484405474441731e+00,2.700000000000000178e+00
9.699999999999999734e-01,1.499448045451359457e+00,1.211482683462307808e+00,2.447808050038505989e+00,1.505505859986671746e+00,1.500000000000000000e+00,2.679876656003147506e+00,1.467055958323678189e+00,1.503253526254773043e+00,2.900000000000000355e+00
9.799999999999999822e-01,1.419531518630372080e+00,1.326096742794742100e+00,2.252046358578991381e+00,1.651864284871935373e+00,1.400000000000000133e+00,2.513056535945596970e+00,1.373163912798137432e+00,1.476948703601888679e+00,2.700000000000000178e+00
9.899999999999999911e-01,1.341318896277724715e+00,1.408146156873625543e+00,2.007519328717596085e+00,1.259050663966898354e+00,1.200000000000000178e+00,2.547936927965841925e+00,1.371104805140974658e+00,1.344009647228928461e+00,2.800000000000000266e+00
1.000000000000000000e+00,1.265362837374411242e+00,1.109595110756882441e+00,1.814718434718515683e+00,1.244436425442386529e+00,1.400000000000000133e+00,2.632911663297662130e+00,1.256973246259762922e+00,1.237168700072112548e+00,2.600000000000000089e+00
1.010000000000000009e+00,1.192185572901480750e+00,8.795551756243851216e-01,1.950941902915445336e+00,1.170726009824038183e+00,1.100000000000000089e+00,2.543677767866343586e+00,1.205113286420611107e+00,1.189121843917257726e+00,2.600000000000000089e+00
1.020000000000000018e+00,1.122273750738272291e+00,1.331339767803185747e+00,1.522416311787301524e+00,1.131010363860347478e+00,1.100000000000000089e+00,2.531398821058652882e+00,1.173458391917635124e+00,1.116245947994454868e+00,2.700000000000000178e+00
1.030000000000000027e+00,1.056073643515627491e+00,9.819107210619643089e-01,1.423127339891550935e+00,1.159572449844491260e+00,1.000000000000000000e+00,2.439097861865405559e+00,1.067658744922354686e+00,1.054013093781209331e+00,2.700000000000000178e+00
1.040000000000000036e+00,9.939867677560167980e-01,9.994717132818768945e-01,1.341929977537348773e+00,8.888540963608629886e-01,1.000000000000000000e+00,2.473715119781239480e+00,1.022107249429208942e+00,9.727103226133784197e-01,2.500000000000000000e+00
1.050000000000000044e+00,9.363659584776073963e-01,8.895772757944582221e-01,1.620245013880827312e+00,8.696387636754370210e-01,9.000000000000000222e-01,2.268336947409665516e+00,9.873963341842504349e-01,8.296277108217633423e-01,2.600000000000000089e+00
1.060000000000000053e+00,8.835119388383746442e-01,7.754882335915211922e-01,1.227910996908958330e+00,1.050412998902384709e+00,9.000000000000000222e-01,2.327072723233291285e+00,8.742833667294661604e-01,7.388339518405053763e-01,2.400000000000000355e+00
1.070000000000000062e+00,8.356704193957431581e-01,9.560221673535254094e-01,1.558944204101988973e+00,9.179654928209713960e-01,8.000000000000000444e-01,2.155295151189398517e+00,9.727399770726868899e-01,8.470077006743074177e-01,2.500000000000000000e+00
1.080000000000000071e+00,7.930297562076190632e-01,6.870485132442814002e-01,1.600750264154763070e+00,9.981619799428247397e-01,8.000000000000000444e-01,2.203359069984510921e+00,7.907732780865410760e-01,8.059002181814330923e-01,2.500000000000000000e+00
1.090000000000000080e+00,7.557191913558509722e-01,7.614646502160054009e-01,1.497311039369405128e+00,7.341108146041848137e-01,8.000000000000000444e-01,2.125384110713994801e+00,7.548965494142368948e-01,6.955227637755906356e-01,2.200000000000000178e+00
1.100000000000000089e+00,7.238076935903408060e-01,4.348193245145619001e-01,1.308554996726405406e+00,6.125025674668002074e-01,7.000000000000000666e-01,2.075115345919602561e+00,7.811482217752072632e-01,6.606974974158703606e-01,2.300000000000000266e+00
1.110000000000000098e+00,6.973034107304620921e-01,3.695502522972857751e-01,1.386662186439594047e+00,6.727591619218865615e-01,7.000000000000000666e-01,1.943982247771228522e+00,6.663300760421771995e-01,5.932320065471585746e-01,2.100000000000000089e+00
1.120000000000000107e+00,6.761537392814369607e-01,5.982423482074186172e-01,1.043537129315054823e+00,6.337009876333347114e-01,7.000000000000000666e-01,1.923577227858593419e+00,6.802328545213418565e-01,6.638848971335938876e-01,2.000000000000000000e+00
1.130000000000000115e+00,6.602460104892372561e-01,1.042380311203858545e+00,1.305199963566290533e+00,7.600571458973297556e-01,7.000000000000000666e-01,1.839862713749161660e+00,5.785224976779426154e-01,6.508378799546896687e-01,1.900000000000000133e+00
1.140000000000000124e+00,6.494087858313599693e-01,6.856613047004153083e-01,1.587116602655796571e+00,5.877636556422197733e-01,7.000000000000000666e-01,1.768186082366301815e+00,5.307221271239095373e-01,6.553290838959128228e-01,1.900000000000000133e+00
1.150000000000000133e+00,6.434137487853481829e-01,1.030139760811115357e+00,1.538177182985369429e+00,6.817673362830007910e-01,6.000000000000000888e-01,1.626638206632272654e+00,6.500608084319222657e-01,6.582037749962738049e-01,1.800000000000000044e+00
